E V T
-6.800006E+02 -1.696912E+03 +1.016911E+03
-6.800042E+02 -1.692513E+03 +1.012509E+03
-6.799914E+02 -1.687235E+03 +1.007244E+03
-6.799949E+02 -1.685630E+03 +1.005635E+03
-6.799852E+02 -1.687640E+03 +1.007655E+03
-6.799894E+02 -1.688965E+03 +1.008976E+03
-6.799860E+02 -1.685940E+03 +1.005954E+03
-6.799927E+02 -1.679227E+03 +9.992339E+02
-6.799947E+02 -1.671781E+03 +9.917867E+02
-6.799901E+02 -1.665149E+03 +9.851588E+02
-6.800090E+02 -1.661930E+03 +9.819210E+02
-6.800018E+02 -1.665377E+03 +9.853751E+02
-6.799955E+02 -1.674419E+03 +9.944236E+02
-6.799866E+02 -1.683620E+03 +1.003634E+03
-6.799812E+02 -1.688395E+03 +1.008414E+03
-6.799773E+02 -1.687474E+03 +1.007497E+03
-6.799771E+02 -1.682552E+03 +1.002575E+03
-6.799788E+02 -1.676375E+03 +9.963967E+02
-6.799834E+02 -1.672739E+03 +9.927559E+02
-6.799796E+02 -1.674896E+03 +9.949159E+02
-6.799860E+02 -1.679806E+03 +9.998200E+02
-6.799975E+02 -1.682822E+03 +1.002824E+03
-6.800019E+02 -1.684185E+03 +1.004183E+03
-6.799967E+02 -1.686508E+03 +1.006512E+03
-6.799891E+02 -1.691192E+03 +1.011203E+03
-6.799878E+02 -1.696814E+03 +1.016827E+03
-6.799876E+02 -1.700690E+03 +1.020702E+03
-6.799853E+02 -1.701313E+03 +1.021328E+03
-6.799865E+02 -1.698487E+03 +1.018500E+03
-6.799967E+02 -1.693642E+03 +1.013645E+03
-6.800001E+02 -1.689474E+03 +1.009474E+03
-6.800008E+02 -1.687731E+03 +1.007730E+03
-6.799965E+02 -1.687144E+03 +1.007147E+03
-6.799896E+02 -1.686314E+03 +1.006324E+03
-6.799873E+02 -1.687208E+03 +1.007221E+03
-6.799809E+02 -1.690173E+03 +1.010192E+03
-6.799760E+02 -1.692812E+03 +1.012836E+03
-6.799678E+02 -1.695963E+03 +1.015995E+03
-6.799658E+02 -1.701319E+03 +1.021353E+03
-6.799745E+02 -1.708425E+03 +1.028450E+03
-6.799745E+02 -1.715438E+03 +1.035464E+03
-6.799794E+02 -1.718160E+03 +1.038180E+03
-6.799799E+02 -1.714947E+03 +1.034967E+03
-6.799840E+02 -1.708344E+03 +1.028360E+03
